cell_type,transcript_name,gene_name,AD,Control,chi_pval,chi_padj,chi_significant,delta_usage,usage_direction,permutation_pval,permutation_significant,n_valid_permutations,total_counts_AD,total_counts_CT,mean_CPM_AD,mean_CPM_CT,log2FC,isoform_role,tx_role_mane,candidate_group
Astrocyte,FAS-225,FAS,0.2361111111111111,0.0,4.689036097616728e-11,2.3968713644613663e-10,True,0.2361111111111111,AD_enriched,0.0101010101010101,True,495.0,17,0,19.3625,0.0,4.3478,Minor,Alternate,new_target_candidate
Astrocyte,FXR1-203,FXR1,0.7578125,0.2016460905349794,1.2783642611261852e-37,4.3423147321479774e-36,True,0.5561664094650206,AD_enriched,0.0093,True,10000.0,97,49,144.0514,21.9939,2.6572,Minor,Alternate,new_target_candidate
Astrocyte,G3BP1-237,G3BP1,0.2763157894736842,0.0,1.1170543415728853e-12,6.5896819141526505e-12,True,0.2763157894736842,AD_enriched,0.0186480186480186,True,3432.0,21,0,21.9185,0.0,4.5184,Minor,Alternate,new_target_candidate
Astrocyte,GABRA2-202,GABRA2,0.6442048517520216,0.9302325581395348,4.5964542378283425e-34,1.2906843499821982e-32,True,-0.2860277063875132,CT_enriched,0.0022,True,10000.0,239,680,332.9161,1450.4742,-2.12,Dominant,Canonical,trial_failure_candidate
Astrocyte,GASK1A-213,GASK1A,0.5522388059701493,0.0531914893617021,1.0636495762683024e-11,5.788232577832157e-11,True,0.4990473166084472,AD_enriched,0.0239898989898989,True,792.0,37,5,39.0229,30.7171,0.3356,Minor,Alternate,new_target_candidate
Astrocyte,GDAP1-201,GDAP1,0.25,0.7823834196891192,2.6353262881997404e-19,2.967912921362916e-18,True,-0.5323834196891192,CT_enriched,0.0223776223776223,True,5005.0,25,151,30.888,723.7697,-4.5064,Dominant,Canonical,trial_failure_candidate
Astrocyte,GDAP1-233,GDAP1,0.5,0.0984455958549222,2.6353262881997404e-19,2.967912921362916e-18,True,0.4015544041450778,AD_enriched,0.0107892107892107,True,5005.0,50,19,69.9164,10.7998,2.5874,Minor,Alternate,new_target_candidate
Astrocyte,GORASP1-201,GORASP1,0.0507246376811594,0.6477272727272727,2.3891382858294323e-38,8.67504349992549e-37,True,-0.5970026350461133,CT_enriched,0.0,True,21.0,7,57,17.0721,36.0063,-1.034,Dominant,Canonical,trial_failure_candidate
Astrocyte,HAUS5-206,HAUS5,0.59,0.0204081632653061,1.0673862766446541e-13,7.204857367351415e-13,True,0.5695918367346938,AD_enriched,0.0,True,10.0,59,1,68.691,0.3489,5.6911,Minor,Alternate,new_target_candidate
Astrocyte,HCFC2-201,HCFC2,0.7058823529411765,1.0,9.271227164320644e-05,0.0002305218938377,True,-0.2941176470588235,CT_enriched,0.0,True,126.0,24,65,41.7058,168.0607,-1.985,Dominant,Canonical,trial_failure_candidate
Astrocyte,HNRNPM-202,HNRNPM,0.3934426229508196,0.0514705882352941,2.086985654362307e-09,8.969779159361261e-09,True,0.3419720347155255,AD_enriched,0.0053946053946053,True,5005.0,24,7,44.2758,11.6846,1.8357,Minor,Alternate,new_target_candidate
Astrocyte,HPS1-257,HPS1,0.2580645161290322,0.0303030303030303,6.717364338712184e-10,3.068713513520144e-09,True,0.2277614858260019,AD_enriched,0.0476190476190476,True,21.0,8,1,29.3532,1.9811,3.3479,Minor,Alternate,new_target_candidate
Astrocyte,HSP90B1-201,HSP90B1,0.2692307692307692,0.5512465373961218,3.5377218541876115e-14,2.483480741639703e-13,True,-0.2820157681653526,CT_enriched,0.0193,True,10000.0,70,199,100.454,380.3668,-1.9104,Dominant,Canonical,trial_failure_candidate
Astrocyte,HSPD1-221,HSPD1,0.2545454545454545,0.0313479623824451,2.9687986461829183e-16,2.5009159795444904e-15,True,0.2231974921630094,AD_enriched,0.0416,True,10000.0,42,10,48.8578,11.7162,1.9711,Minor,Alternate,new_target_candidate
Astrocyte,IFNAR1-201,IFNAR1,0.0769230769230769,0.4931506849315068,3.83564028925295e-07,1.280167741547815e-06,True,-0.4162276080084299,CT_enriched,0.0012626262626262,True,792.0,4,36,7.6859,104.3498,-3.6004,Dominant,Canonical,trial_failure_candidate
Astrocyte,INTU-201,INTU,0.2054794520547945,0.717948717948718,1.7492274206761963e-08,6.747020051179617e-08,True,-0.5124692658939234,CT_enriched,0.0109890109890109,True,1001.0,30,28,50.3312,107.5699,-1.0807,Dominant,Canonical,trial_failure_candidate
Astrocyte,JAKMIP3-205,JAKMIP3,0.2592592592592592,0.043010752688172,2.401905650603643e-13,1.5564348615911608e-12,True,0.2162485065710871,AD_enriched,0.0,True,10.0,14,4,16.7971,1.3957,2.8931,Minor,Alternate,new_target_candidate
Astrocyte,KIAA1191-202,KIAA1191,0.4848484848484848,0.2121212121212121,4.191766763725339e-06,1.2665510479778428e-05,True,0.2727272727272727,AD_enriched,0.0151515151515151,True,462.0,16,21,37.2174,29.7591,0.3132,Minor,Alternate,new_target_candidate
Astrocyte,transcript17860.chr22.nnic,KIAA1671,0.3428571428571428,0.1428571428571428,0.001334410892799,0.0028357914634053,True,0.2,AD_enriched,0.0142857142857142,True,210.0,12,8,15.592,13.7927,0.1656,Minor,Alternate,new_target_candidate
Astrocyte,LMNA-242,LMNA,0.3754512635379061,0.054054054054054,5.1987636582829455e-11,2.643133991669292e-10,True,0.3213972094838521,AD_enriched,0.0347,True,10000.0,104,6,140.4023,10.9561,3.564,Minor,Alternate,new_target_candidate
Astrocyte,LRSAM1-202,LRSAM1,0.5476190476190477,0.0,2.177036402924016e-11,1.132058929520488e-10,True,0.5476190476190477,AD_enriched,0.0363636363636363,True,55.0,69,0,96.3685,0.0,6.6054,Minor,Alternate,new_target_candidate
Astrocyte,MED16-203,MED16,0.9681274900398408,0.4437869822485207,2.7153056837308703e-34,7.727613202617855e-33,True,0.5243405077913201,AD_enriched,0.0359640359640359,True,1001.0,243,75,333.3118,91.8746,1.8478,Minor,Alternate,new_target_candidate
Astrocyte,MED16-202,MED16,0.0278884462151394,0.5562130177514792,2.7153056837308703e-34,7.727613202617855e-33,True,-0.5283245715363398,CT_enriched,0.0359640359640359,True,1001.0,7,94,8.3554,35.8591,-1.9782,Dominant,Canonical,trial_failure_candidate
Astrocyte,MROH1-207,MROH1,0.5694444444444444,0.0082644628099173,1.2551032162765504e-27,2.6699468418973894e-26,True,0.5611799816345271,AD_enriched,0.0303030303030303,True,330.0,41,1,17.2222,3.4091,2.0472,Minor,Alternate,new_target_candidate
Astrocyte,MYH10-214,MYH10,0.7259615384615384,0.0597014925373134,8.191350357259674e-22,1.1349331481834786e-20,True,0.666260045924225,AD_enriched,0.0176767676767676,True,792.0,151,4,132.2594,18.0766,2.8044,Minor,Alternate,new_target_candidate
Astrocyte,MYLK-242,MYLK,0.3567251461988304,0.032520325203252,2.588972892449023e-40,1.0485340214418543e-38,True,0.3242048209955784,AD_enriched,0.0211344211344211,True,6435.0,61,4,80.8254,15.8564,2.2792,Minor,Alternate,new_target_candidate
Astrocyte,NAPB-201,NAPB,0.5054945054945055,0.9620253164556962,8.460272576428534e-17,7.372842868581244e-16,True,-0.4565308109611907,CT_enriched,0.006060606060606,True,495.0,46,152,51.6426,503.6891,-3.2611,Dominant,Canonical,trial_failure_candidate
Astrocyte,NAPB-202,NAPB,0.4725274725274725,0.0379746835443038,8.460272576428534e-17,7.372842868581244e-16,True,0.4345527889831687,AD_enriched,0.0101010101010101,True,495.0,43,6,42.6358,19.0264,1.1236,Minor,Alternate,new_target_candidate
Astrocyte,transcript106850.chr13.nnic,NAXD,0.6746031746031746,0.0920245398773006,1.0933811150900324e-35,3.3862656299700123e-34,True,0.582578634725874,AD_enriched,0.0202020202020202,True,1287.0,85,15,548.6056,19.3293,4.7568,Minor,Alternate,new_target_candidate
Astrocyte,NECAP1-202,NECAP1,0.4242424242424242,0.0,3.2945787836437284e-08,1.2389969497060165e-07,True,0.4242424242424242,AD_enriched,0.0119047619047619,True,84.0,14,0,15.1034,0.0,4.0093,Minor,Alternate,new_target_candidate
Astrocyte,OGT-215,OGT,0.6208530805687204,0.175,2.3828591607095727e-10,1.1457309115192604e-09,True,0.4458530805687203,AD_enriched,0.031080031080031,True,1287.0,131,14,241.4579,51.3273,2.2121,Minor,Alternate,new_target_candidate
Astrocyte,PADI2-202,PADI2,0.3529411764705882,0.9032258064516128,8.670381871724753e-06,2.484329826102357e-05,True,-0.5502846299810246,CT_enriched,0.0317460317460317,True,126.0,12,28,10.5877,73.1955,-2.6787,Dominant,Canonical,trial_failure_candidate
Astrocyte,PAN2-203,PAN2,0.2424242424242424,0.8809523809523809,4.715711869153111e-10,2.1971878753178004e-09,True,-0.6385281385281385,CT_enriched,0.0357142857142857,True,84.0,16,37,19.5513,85.0383,-2.0657,Dominant,Canonical,trial_failure_candidate
Astrocyte,PCDH9-201,PCDH9,0.8024691358024691,0.463768115942029,1.5140266130485196e-11,8.072253283747297e-11,True,0.3387010198604401,AD_enriched,0.0489510489510489,True,1716.0,195,32,288.5262,141.169,1.0261,Minor,Alternate,new_target_candidate
Astrocyte,PLA2G4C-201,PLA2G4C,0.2916666666666667,0.0,1.7123813393520553e-05,4.714085098922129e-05,True,0.2916666666666667,AD_enriched,0.0476190476190476,True,21.0,14,0,22.5689,0.0,4.5588,Minor,Alternate,new_target_candidate
Astrocyte,PLA2G4C-222,PLA2G4C,0.6666666666666666,0.9838709677419356,1.7123813393520553e-05,4.714085098922129e-05,True,-0.317204301075269,CT_enriched,0.0,True,21.0,32,61,32.4976,66.6735,-1.0145,Dominant,Canonical,trial_failure_candidate
Astrocyte,PMPCB-201,PMPCB,0.2957746478873239,0.8,5.42799656523627e-06,1.6010309196621266e-05,True,-0.5042253521126762,CT_enriched,0.0346320346320346,True,3003.0,21,24,29.1559,71.9629,-1.2747,Dominant,Canonical,trial_failure_candidate
Astrocyte,PRPF38B-203,PRPF38B,0.7394366197183099,0.9598214285714286,1.4253131740669446e-11,7.637937772480879e-11,True,-0.2203848088531187,CT_enriched,0.0489510489510489,True,1287.0,105,215,66.589,199.2333,-1.5668,Dominant,Canonical,trial_failure_candidate
Astrocyte,PUF60-202,PUF60,0.4223433242506812,0.1885714285714285,7.254130701230635e-45,4.020315593892557e-43,True,0.2337718956792527,AD_enriched,0.0181818181818181,True,495.0,155,33,152.5114,33.1443,2.1686,Minor,Alternate,new_target_candidate
Astrocyte,RANBP2-201,RANBP2,0.6859504132231405,0.927461139896373,4.1884625311139855e-08,1.5529757201630377e-07,True,-0.2415107266732324,CT_enriched,0.0143190143190143,True,3003.0,83,179,124.3934,507.5654,-2.02,Dominant,Canonical,trial_failure_candidate
Astrocyte,RBL2-201,RBL2,0.1111111111111111,0.5221238938053098,1.3198544542021916e-09,5.876561269661343e-09,True,-0.4110127826941986,CT_enriched,0.0134865134865134,True,2002.0,11,59,11.1966,75.0529,-2.6405,Dominant,Canonical,trial_failure_candidate
Astrocyte,RBL2-209,RBL2,0.8787878787878788,0.4778761061946903,1.3198544542021916e-09,5.876561269661343e-09,True,0.4009117725931885,AD_enriched,0.0159840159840159,True,2002.0,87,54,104.2918,86.4463,0.2679,Minor,Alternate,new_target_candidate
Astrocyte,RBM25-201,RBM25,0.3490566037735849,0.7419354838709677,6.161870910207986e-32,1.5448690639164309e-30,True,-0.3928788800973828,CT_enriched,0.0282,True,10000.0,185,299,205.9772,2151.7843,-3.3787,Dominant,Canonical,trial_failure_candidate
Astrocyte,RBM25-212,RBM25,0.4867924528301887,0.1637717121588089,6.161870910207986e-32,1.5448690639164309e-30,True,0.3230207406713797,AD_enriched,0.0114,True,10000.0,258,66,364.9653,284.0133,0.3607,Minor,Alternate,new_target_candidate
Astrocyte,RFX3-212,RFX3,0.3072289156626506,0.717948717948718,2.4260318209753105e-05,6.516866090528065e-05,True,-0.4107198022860673,CT_enriched,0.0214785214785214,True,2002.0,51,28,56.5346,107.7769,-0.9189,Dominant,Canonical,trial_failure_candidate
Astrocyte,transcript151198.chr12.nic,RFX4,0.8675496688741722,0.3061224489795918,2.6438807582039372e-14,1.8874619921279642e-13,True,0.5614272198945804,AD_enriched,0.03,True,10000.0,131,15,95.7419,54.1996,0.8095,Minor,Alternate,new_target_candidate
Astrocyte,RGS3-231,RGS3,0.0161290322580645,0.627906976744186,1.0785933942986196e-10,5.28259927533231e-10,True,-0.6117779444861215,CT_enriched,0.0,True,6.0,1,27,0.2329,9.421,-3.0793,Dominant,Canonical,trial_failure_candidate
Astrocyte,RNASEH2C-205,RNASEH2C,0.3225806451612903,0.0,0.0001399027363879,0.0003410129199456,True,0.3225806451612903,AD_enriched,0.0,True,56.0,10,0,7.1073,0.0,3.0192,Minor,Alternate,new_target_candidate
Astrocyte,RSPRY1-202,RSPRY1,0.3611111111111111,0.0,3.1364194494422977e-07,1.0568478976840767e-06,True,0.3611111111111111,AD_enriched,0.0238095238095238,True,126.0,13,0,12.3212,0.0,3.7356,Minor,Alternate,new_target_candidate
Astrocyte,RSPRY1-201,RSPRY1,0.5277777777777778,0.9701492537313432,3.1364194494422977e-07,1.0568478976840767e-06,True,-0.4423714759535654,CT_enriched,0.0317460317460317,True,126.0,19,65,26.2918,129.6345,-2.259,Dominant,Canonical,trial_failure_candidate
Astrocyte,SCAPER-207,SCAPER,0.3800223214285714,0.6602809706257982,2.166849250611597e-38,8.00593775752285e-37,True,-0.2802586491972267,CT_enriched,0.0153,True,10000.0,681,517,666.7418,848.2609,-0.3469,Dominant,Canonical,trial_failure_candidate
Astrocyte,SEC14L2-214,SEC14L2,0.7037037037037037,0.9700598802395208,1.2624024064227964e-08,4.988774706880756e-08,True,-0.2663561765358171,CT_enriched,0.0176767676767676,True,792.0,38,162,74.061,292.5424,-1.9674,Dominant,Canonical,trial_failure_candidate
Astrocyte,SHOC2-214,SHOC2,0.3220338983050847,0.0,6.486800637193901e-10,2.969826552593554e-09,True,0.3220338983050847,AD_enriched,0.0166666666666666,True,120.0,19,0,18.0711,0.0,4.2533,Minor,Alternate,new_target_candidate
Astrocyte,SLC2A11-220,SLC2A11,0.3055555555555556,0.0142857142857142,2.038942461110655e-29,4.771125358998931e-28,True,0.2912698412698414,AD_enriched,0.0,True,21.0,11,3,71.1298,4.8517,3.6237,Minor,Alternate,new_target_candidate
Astrocyte,SPG7-268,SPG7,0.2275641025641025,0.936,9.279535227875966e-123,6.514233729968927e-120,True,-0.7084358974358975,CT_enriched,0.0111888111888111,True,715.0,71,702,80.8756,536.9827,-2.7161,Dominant,Canonical,trial_failure_candidate
Astrocyte,SPG7-223,SPG7,0.2339743589743589,0.0253333333333333,9.279535227875966e-123,6.514233729968927e-120,True,0.2086410256410256,AD_enriched,0.0265734265734265,True,715.0,73,19,59.5456,27.7187,1.076,Minor,Alternate,new_target_candidate
Astrocyte,SPG7-250,SPG7,0.2147435897435897,0.0013333333333333,9.279535227875966e-123,6.514233729968927e-120,True,0.2134102564102564,AD_enriched,0.0167832167832167,True,715.0,67,1,21.1987,2.2514,2.7713,Minor,Alternate,new_target_candidate
Astrocyte,SPTAN1-206,SPTAN1,0.4932735426008968,0.0928270042194092,5.68221833249697e-28,1.2465366466915227e-26,True,0.4004465383814876,AD_enriched,0.0269730269730269,True,1001.0,110,22,124.1017,14.9067,2.9754,Minor,Alternate,new_target_candidate
Astrocyte,SRSF10-214,SRSF10,0.1272727272727272,0.6144578313253012,2.054748762667256e-08,7.88215099121537e-08,True,-0.487185104052574,CT_enriched,0.031080031080031,True,1287.0,7,51,10.2241,152.8966,-3.7773,Dominant,Canonical,trial_failure_candidate
Astrocyte,ST3GAL1-206,ST3GAL1,0.7796610169491526,0.0,1.7891800544832828e-19,2.0703369201877992e-18,True,0.7796610169491526,AD_enriched,0.0357142857142857,True,56.0,46,0,14.6376,0.0,3.9669,Minor,Alternate,new_target_candidate
